,Year,USA Temperature (C),AUS Temperature (C),BRA Temperature (C),USA Precipitation (mm),AUS Precipitation (mm),Brazil Precipitation (mm)
54,1955,6.3436875,21.122854,24.568645,52.75988,42.538822,149.43607
55,1956,6.3972116,20.544973,24.290783,49.690754,48.939774,156.37363
56,1957,7.1971045,21.454187,24.673687,58.326946,34.617546,145.95834
57,1958,7.0539527,21.547884,25.121525,55.317574,35.577076,141.52718
58,1959,6.6787567,21.680462,24.947987,56.429527,36.290474,141.30415
59,1960,6.7200975,20.851427,24.629892,54.735016,41.199287,144.9512
60,1961,6.492202,21.552526,25.141964,57.870647,30.979614,139.48233
61,1962,6.9103217,21.391928,24.80534,52.584526,39.134583,144.56842
62,1963,7.016024,21.33833,25.217241,50.060112,40.309166,132.81342
63,1964,6.2749743,21.226362,24.832363,55.153393,38.645733,156.71019
64,1965,6.4657106,21.669321,25.042736,55.38495,31.251385,146.76129
65,1966,6.2815533,20.947184,25.179237,50.894592,32.81767,145.98856
66,1967,6.8660445,21.224976,25.035997,54.793224,37.844643,143.62653
67,1968,6.48026,21.03405,24.658405,54.03004,41.95111,144.35095
68,1969,6.7636886,21.39541,25.26417,54.479927,36.762444,139.3602
69,1970,6.5991926,21.310116,25.130068,54.864418,33.321526,143.8646
70,1971,6.234191,21.214195,24.418861,54.77014,40.27581,147.74057
71,1972,6.2434025,21.57492,24.88816,56.81828,32.83842,147.93144
72,1973,6.8392715,21.90311,25.007069,60.56479,49.972893,157.60127
73,1974,6.6009254,20.758308,24.396254,55.67408,54.955914,159.00333
74,1975,6.2090316,21.215776,24.438084,58.509888,46.267506,152.14453
75,1976,6.4971757,20.764523,24.39613,49.638992,44.735405,146.17258
76,1977,7.2084436,21.398935,24.807856,55.48562,40.905815,148.54324
77,1978,6.8957963,21.155218,24.677866,54.657043,41.34015,148.80106
78,1979,6.694786,21.765207,24.693518,59.322975,38.36686,145.70877
79,1980,7.066892,22.130589,24.841465,53.343254,37.551426,145.25775
80,1981,7.767236,21.700855,24.6487,55.81789,44.78138,141.10619
81,1982,6.4656076,21.449705,24.80703,60.58972,35.413204,148.61716
82,1983,6.9508657,21.750803,25.007809,60.77764,39.399372,139.7861
83,1984,6.6931024,21.048607,24.80416,55.853996,43.65397,149.55571
84,1985,6.547124,21.594568,24.776478,55.766132,35.192307,160.9609
85,1986,7.4475794,21.581608,24.891207,57.650166,32.86091,145.5209
86,1987,7.6064095,21.59427,25.302525,54.40271,39.975967,136.06015
87,1988,7.2044106,22.105854,25.050127,50.389286,37.447372,146.56949
88,1989,6.8280497,21.37485,24.709227,55.43633,39.820904,158.79214
89,1990,7.3916855,21.8711,25.069971,59.143402,34.16189,136.72195
90,1991,7.500322,22.043804,25.041132,59.32259,39.800434,141.17818
91,1992,6.967962,21.489603,24.83469,57.899616,34.585484,141.7583
92,1993,7.0994253,21.701008,24.955845,59.0479,40.339027,140.83391
93,1994,7.285927,21.643223,25.072952,56.417408,30.676657,149.33366
94,1995,7.419545,21.480915,25.300232,56.049694,42.487434,148.4774
95,1996,6.6995897,21.81751,25.046738,57.798462,39.67475,154.92468
96,1997,7.05227,21.537134,25.368227,56.68632,41.198685,149.37013
97,1998,8.045993,22.111727,25.68623,59.57609,43.416542,145.16666
98,1999,7.1595945,21.574703,25.147045,53.858284,46.62199,149.79326
99,2000,7.431657,21.24332,25.142067,53.88106,47.001427,164.98431
100,2001,7.5720034,21.301031,25.421627,53.62375,40.66764,144.16176
101,2002,7.750373,21.97096,25.65718,54.528595,32.099575,150.93156
102,2003,7.688549,21.958231,25.480742,56.213074,38.022083,142.44534
103,2004,7.6693993,21.792004,25.389252,61.518097,41.080406,151.91853
104,2005,7.8577776,22.352182,25.70073,56.341644,31.367132,151.57907
105,2006,7.8864813,21.625444,25.494154,56.55063,38.399498,155.50058
106,2007,7.8060584,21.745382,25.547108,54.279785,39.489426,145.25426
107,2008,6.935361,21.503962,25.218435,58.170464,37.755333,158.68472
108,2009,7.1020646,21.92194,25.496075,56.836555,40.32821,159.8905
109,2010,7.4091196,21.302647,25.681717,58.305126,59.14986,150.25182
110,2011,7.405612,21.21735,25.390158,59.187828,52.6756,154.51495
111,2012,7.939524,21.534817,25.582172,56.28993,41.83538,139.9481
