,Year,USA Temperature (C),AUS Temperature (C),BRA Temperature (C),USA Precipitation (mm)
96,1997,7.05227,21.537134,25.368227,56.68632
97,1998,8.045993,22.111727,25.68623,59.57609
98,1999,7.1595945,21.574703,25.147045,53.858284
99,2000,7.431657,21.24332,25.142067,53.88106
100,2001,7.5720034,21.301031,25.421627,53.62375
101,2002,7.750373,21.97096,25.65718,54.528595
102,2003,7.688549,21.958231,25.480742,56.213074
103,2004,7.6693993,21.792004,25.389252,61.518097
104,2005,7.8577776,22.352182,25.70073,56.341644
105,2006,7.8864813,21.625444,25.494154,56.55063
106,2007,7.8060584,21.745382,25.547108,54.279785
107,2008,6.935361,21.503962,25.218435,58.170464
108,2009,7.1020646,21.92194,25.496075,56.836555
109,2010,7.4091196,21.302647,25.681717,58.305126
110,2011,7.405612,21.21735,25.390158,59.187828
111,2012,7.939524,21.534817,25.582172,56.28993
